ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected,Accuracy,Oracle_view
0 (0.84),4 (0.84),5 (0.92),1 (0.72),1 (0.88),2 (0.76),2 (0.88),1 (0.8),1 (0.84),1 (0.8),1 (0.88),1 (0.68),1 (0.76),0 (0.88),3 (0.84),4,W2V,"(1,)",W2V,FALSE,TRUE
3 (0.72),3 (0.92),4 (0.84),2 (0.84),0 (0.8),2 (0.84),1 (0.8),1 (0.72),1 (0.72),2 (0.84),5 (0.84),4 (0.8),5 (0.76),1 (0.84),1 (0.8),3,"ALBERT,Fasttext,Glove","(3, 1, 1)",ALBERT,TRUE,TRUE
1 (0.84),1 (0.72),1 (0.92),3 (0.8),1 (0.76),0 (0.96),2 (0.96),1 (0.96),1 (0.76),0 (0.68),2 (0.84),1 (0.8),1 (0.84),0 (0.92),3 (0.92),2,LLAMA,"(0,)",LLAMA,FALSE,TRUE
3 (0.84),2 (0.8),2 (0.88),2 (0.8),1 (0.84),2 (0.8),3 (0.76),3 (0.76),2 (0.88),3 (0.88),2 (0.8),3 (0.72),1 (0.88),3 (0.84),3 (0.92),2,W2V,"(3,)",W2V,FALSE,TRUE
1 (0.92),4 (0.84),3 (0.76),3 (0.92),3 (0.92),5 (0.8),4 (0.88),3 (0.72),3 (0.92),3 (0.72),4 (0.76),3 (0.8),1 (0.8),4 (0.76),3 (0.68),5,MISTRAL,"(3,)",MISTRAL,FALSE,TRUE
2 (0.68),1 (0.84),2 (0.72),1 (0.76),1 (0.88),3 (0.72),1 (0.76),1 (0.76),0 (0.56),2 (0.8),1 (0.76),0 (0.92),3 (0.72),1 (0.88),1 (0.8),2,Glove,"(0,)",Glove,FALSE,TRUE
2 (0.76),3 (0.88),0 (0.76),1 (0.68),3 (0.8),0 (0.8),1 (0.76),1 (0.72),1 (0.72),1 (0.8),3 (0.8),1 (0.84),1 (0.72),1 (0.8),2 (0.88),0,DistilBERT,"(1,)",DistilBERT,FALSE,TRUE
3 (0.72),4 (0.76),4 (0.8),3 (0.8),1 (0.84),1 (0.84),3 (0.84),4 (0.88),3 (0.72),4 (0.84),3 (0.88),4 (0.8),3 (0.84),3 (0.6),3 (0.84),1,LLAMA3,"(3,)",LLAMA3,FALSE,TRUE
1 (0.8),4 (0.84),4 (0.56),3 (0.68),1 (0.72),4 (0.76),4 (0.68),4 (0.8),4 (0.84),4 (0.8),4 (0.64),4 (0.92),4 (0.72),1 (0.84),4 (0.8),4,BERT,"(4,)",BERT,TRUE,TRUE
3 (0.72),1 (0.76),4 (0.8),3 (0.8),1 (0.88),1 (0.84),4 (0.88),1 (0.76),0 (0.84),4 (0.68),4 (0.92),1 (0.88),3 (0.72),3 (0.76),4 (0.76),4,LLAMA,"(4,)",LLAMA,TRUE,TRUE
5 (0.88),3 (0.88),3 (0.72),1 (0.76),0 (0.68),0 (0.84),2 (1.0),1 (0.8),1 (0.8),1 (0.88),0 (0.96),1 (0.76),1 (0.88),1 (0.92),0 (0.84),0,ELECTRA,"(0,)",ELECTRA,TRUE,TRUE
4 (0.8),4 (0.72),5 (0.92),2 (0.72),5 (0.76),4 (0.68),4 (0.84),4 (0.68),1 (0.92),1 (0.72),4 (0.52),4 (0.88),1 (0.8),4 (0.8),4 (0.8),3,RoBERTa,"(4,)",RoBERTa,FALSE,FALSE
5 (0.92),1 (0.84),4 (0.68),1 (0.96),5 (0.56),1 (0.28),2 (0.84),1 (0.92),0 (0.84),2 (0.8),2 (0.8),5 (0.92),4 (0.76),0 (0.76),1 (0.8),5,ELMO,"(1,)",ELMO,FALSE,TRUE
0 (0.84),1 (0.8),0 (0.8),0 (0.8),1 (0.88),1 (0.88),0 (0.88),0 (0.84),1 (0.96),0 (0.84),1 (0.84),2 (0.88),0 (0.84),0 (0.92),1 (0.92),0,"BART,BERT,DistilBERT","(1, 0, 0)",BERT,TRUE,TRUE
3 (0.92),1 (0.64),1 (0.96),1 (0.72),1 (0.96),1 (0.68),1 (0.92),2 (0.8),1 (0.8),1 (0.84),1 (0.84),1 (0.8),1 (0.92),1 (0.72),2 (0.88),3,BART,"(1,)",BART,FALSE,TRUE
3 (0.8),3 (0.72),3 (0.72),3 (0.88),4 (0.76),5 (0.8),4 (0.88),4 (0.72),3 (0.88),4 (0.84),3 (0.68),4 (0.72),3 (0.64),4 (0.76),3 (0.76),1,XLNET,"(3,)",XLNET,FALSE,FALSE
5 (0.96),4 (0.76),3 (0.96),1 (0.8),1 (0.68),0 (0.88),1 (0.8),5 (0.72),1 (0.72),1 (0.76),5 (0.68),4 (0.84),4 (0.84),4 (0.84),3 (0.8),4,"ELECTRA,RoBERTa","(1, 5)",ELECTRA,FALSE,TRUE
1 (0.72),4 (0.92),3 (0.72),3 (0.68),3 (0.8),3 (0.8),3 (0.84),3 (0.64),3 (0.8),3 (0.84),4 (0.76),3 (0.8),3 (0.8),3 (0.88),3 (0.72),4,Fasttext,"(3,)",Fasttext,FALSE,TRUE
4 (0.8),3 (0.72),3 (0.88),5 (0.8),4 (0.88),3 (0.72),4 (0.6),2 (0.68),4 (0.8),1 (0.92),3 (0.8),2 (0.8),4 (0.96),4 (0.68),5 (0.72),0,Falcon,"(4,)",Falcon,FALSE,FALSE
3 (0.76),1 (0.84),3 (0.76),2 (0.84),4 (0.88),3 (0.88),2 (0.8),3 (0.88),3 (0.6),2 (0.92),2 (0.76),3 (0.68),1 (0.84),2 (0.84),3 (0.68),4,Glove,"(3,)",Glove,FALSE,TRUE
5 (0.8),1 (0.76),3 (0.8),4 (0.72),4 (0.96),1 (0.76),3 (0.92),3 (0.76),3 (0.76),1 (0.8),1 (0.76),5 (0.92),3 (0.72),3 (0.72),1 (0.8),3,"DistilBERT,XLNET,LLAMA3","(4, 3, 3)",XLNET,TRUE,TRUE
2 (0.8),5 (0.72),3 (0.92),1 (0.88),1 (0.76),1 (0.88),1 (0.68),1 (0.6),1 (0.84),1 (0.84),0 (0.88),1 (0.88),1 (0.8),1 (0.84),1 (0.8),3,Fasttext,"(1,)",Fasttext,FALSE,TRUE
1 (0.64),1 (0.76),1 (0.52),1 (0.68),1 (0.48),1 (0.36),1 (0.2),1 (0.68),1 (0.68),1 (0.72),1 (0.4),1 (0.84),1 (0.8),1 (0.68),1 (0.64),3,Falcon,"(1,)",Falcon,FALSE,FALSE
4 (0.8),3 (0.8),3 (0.84),2 (0.92),3 (0.88),5 (0.72),4 (0.92),3 (0.8),4 (0.84),1 (0.92),5 (0.84),4 (0.84),1 (0.84),1 (0.8),4 (0.76),4,ELMO,"(5,)",ELMO,FALSE,TRUE
5 (0.68),1 (0.88),5 (0.76),4 (0.68),4 (0.84),2 (0.6),5 (0.84),4 (0.72),4 (0.76),5 (0.84),5 (0.8),3 (0.64),5 (0.92),4 (0.8),5 (0.84),4,ELMO,"(2,)",ELMO,FALSE,TRUE
1 (0.56),3 (0.84),1 (0.76),3 (0.68),1 (0.88),2 (0.88),1 (0.88),3 (0.72),3 (0.72),1 (0.76),2 (0.72),2 (0.84),4 (0.88),2 (0.72),1 (0.88),1,ALBERT,"(1,)",ALBERT,TRUE,TRUE
3 (0.8),1 (0.96),1 (0.88),1 (0.8),0 (0.92),0 (0.72),1 (0.76),0 (0.84),1 (0.84),0 (0.92),1 (0.68),1 (0.84),1 (0.76),0 (0.76),1 (0.84),0,RoBERTa,"(1,)",RoBERTa,FALSE,TRUE
1 (0.92),3 (0.76),1 (0.76),4 (0.92),0 (0.76),3 (0.96),3 (0.76),3 (0.84),3 (0.76),0 (0.84),3 (0.8),4 (0.84),3 (0.92),4 (0.92),4 (0.84),0,"BART,BERT,ELECTRA,Falcon,Glove","(3, 1, 0, 3, 3)",ELECTRA,TRUE,TRUE
1 (0.84),1 (0.76),2 (0.8),1 (0.68),3 (0.92),2 (0.8),1 (0.76),3 (0.76),1 (0.76),1 (0.88),1 (0.88),1 (0.8),4 (0.64),2 (0.8),1 (0.84),4,XLNET,"(4,)",XLNET,TRUE,TRUE
2 (0.88),0 (0.8),1 (0.68),1 (0.56),1 (0.72),1 (0.4),1 (0.48),1 (0.56),1 (0.6),1 (0.56),1 (0.56),1 (0.52),1 (0.52),1 (0.56),1 (0.68),1,ELMO,"(1,)",ELMO,TRUE,TRUE
4 (0.8),5 (0.6),3 (0.88),2 (0.8),1 (0.72),4 (0.76),2 (0.76),4 (0.8),4 (0.8),4 (0.84),1 (0.76),4 (0.8),4 (0.76),4 (0.72),4 (0.76),4,BART,"(5,)",BART,FALSE,TRUE
1 (0.92),1 (0.8),3 (0.88),0 (0.76),2 (0.8),2 (0.76),1 (0.6),0 (0.88),1 (0.8),2 (0.88),2 (0.84),0 (0.68),1 (0.88),1 (0.72),3 (0.84),1,Falcon,"(1,)",Falcon,TRUE,TRUE
4 (0.72),5 (0.92),4 (0.88),4 (0.76),4 (0.92),1 (0.84),5 (0.92),4 (0.84),4 (0.88),3 (0.88),5 (0.68),3 (0.76),3 (0.8),3 (0.76),5 (0.84),5,RoBERTa,"(5,)",RoBERTa,TRUE,TRUE
5 (0.96),3 (0.88),5 (0.84),5 (0.8),3 (0.76),5 (0.76),4 (0.8),1 (0.76),3 (0.88),5 (0.88),5 (0.8),0 (0.88),2 (0.84),5 (0.92),4 (0.84),3,"ELECTRA,ELMO,Fasttext","(3, 5, 1)",ELECTRA,TRUE,TRUE
1 (0.84),4 (0.76),4 (0.84),4 (0.8),4 (0.8),5 (0.8),4 (0.72),4 (0.92),4 (0.84),4 (0.84),4 (0.84),4 (0.84),1 (0.68),4 (0.76),5 (0.72),4,XLNET,"(1,)",XLNET,FALSE,TRUE
3 (0.76),0 (0.72),2 (0.84),1 (0.76),3 (0.96),1 (0.84),1 (0.84),2 (0.92),1 (0.68),3 (0.68),1 (0.84),2 (0.88),2 (0.84),0 (0.84),2 (0.8),5,"Glove,LLAMA","(1, 3)",Glove,FALSE,FALSE
0 (0.76),0 (0.92),2 (0.92),4 (0.88),1 (0.88),2 (0.92),4 (0.88),1 (0.72),1 (0.84),4 (0.88),5 (0.8),1 (0.68),4 (0.8),1 (0.68),1 (0.6),4,MISTRAL,"(1,)",MISTRAL,FALSE,TRUE
1 (0.88),3 (0.76),1 (0.8),2 (0.84),3 (0.88),5 (0.92),1 (0.76),1 (0.8),2 (0.72),4 (0.88),1 (0.8),1 (0.8),2 (0.8),1 (0.72),1 (0.84),5,"Glove,LLAMA3","(2, 1)",Glove,FALSE,TRUE
3 (0.88),1 (0.6),4 (0.88),3 (0.88),3 (0.88),3 (0.96),3 (0.8),3 (0.68),3 (0.72),4 (0.88),4 (0.8),4 (0.68),1 (0.68),4 (0.84),3 (0.72),3,BART,"(1,)",BART,FALSE,TRUE
2 (0.8),1 (0.84),2 (0.8),1 (0.52),1 (0.76),2 (0.6),2 (0.64),1 (0.88),1 (0.52),2 (0.84),2 (0.8),3 (0.4),1 (0.8),2 (0.56),3 (0.76),2,W2V,"(3,)",W2V,FALSE,TRUE
3 (0.92),3 (0.64),3 (0.84),2 (0.92),1 (0.8),1 (0.8),1 (0.56),1 (0.84),1 (0.92),2 (0.56),1 (0.84),1 (0.88),3 (0.84),1 (0.6),1 (0.56),1,"Falcon,LLAMA,MISTRAL","(1, 2, 1)",Falcon,TRUE,TRUE
3 (0.92),0 (0.92),2 (0.72),2 (0.92),1 (0.88),1 (0.92),1 (0.6),3 (0.76),3 (0.84),3 (0.88),1 (0.72),3 (0.84),1 (0.8),1 (0.76),1 (0.76),5,Falcon,"(1,)",Falcon,FALSE,FALSE
5 (0.92),1 (0.84),0 (0.92),0 (0.8),1 (0.88),1 (0.8),2 (0.84),2 (0.88),1 (0.8),2 (0.8),1 (0.88),2 (0.84),3 (0.6),2 (0.88),2 (0.72),1,XLNET,"(3,)",XLNET,FALSE,TRUE
5 (0.76),3 (1.0),5 (0.76),5 (0.84),3 (0.84),0 (0.64),3 (0.72),1 (0.76),1 (0.68),3 (0.92),3 (0.8),5 (0.92),5 (0.76),3 (0.84),3 (0.84),4,ELMO,"(0,)",ELMO,FALSE,FALSE
1 (0.76),1 (0.84),2 (0.64),5 (0.8),3 (0.8),1 (0.8),0 (0.64),3 (0.88),1 (0.8),5 (0.56),3 (0.84),2 (0.92),1 (0.84),3 (0.72),5 (0.56),3,"LLAMA,MISTRAL","(5, 5)",MISTRAL,FALSE,TRUE
4 (0.84),3 (0.88),3 (0.76),3 (0.76),4 (0.72),4 (0.64),4 (0.72),3 (0.84),3 (0.64),4 (0.56),0 (0.6),4 (0.8),5 (0.6),4 (0.44),4 (0.76),1,LLAMA3,"(4,)",LLAMA3,FALSE,FALSE
2 (0.96),3 (0.84),3 (0.84),3 (0.76),1 (0.76),2 (0.8),3 (0.84),4 (0.8),1 (0.76),3 (0.72),3 (0.72),1 (0.84),3 (0.76),2 (0.8),2 (0.88),4,"LLAMA,RoBERTa","(3, 3)",LLAMA,FALSE,TRUE
2 (0.8),1 (0.8),2 (0.76),1 (0.92),1 (0.68),1 (0.92),5 (0.68),2 (0.68),1 (0.44),2 (0.84),4 (0.56),1 (0.8),3 (0.6),1 (0.76),2 (0.72),4,Glove,"(1,)",Glove,FALSE,TRUE
3 (0.68),3 (0.84),3 (0.92),3 (0.88),1 (0.8),3 (0.72),1 (0.8),3 (0.84),3 (0.76),0 (0.96),2 (0.68),3 (0.84),2 (0.84),2 (0.92),1 (0.84),1,"ALBERT,RoBERTa","(3, 2)",RoBERTa,FALSE,TRUE
3 (0.64),3 (0.96),3 (0.88),2 (0.68),4 (0.92),2 (0.88),2 (0.88),4 (0.84),0 (0.76),3 (0.84),3 (0.92),4 (0.64),3 (0.76),3 (0.76),3 (0.72),4,"ALBERT,W2V","(3, 4)",W2V,TRUE,TRUE
3 (0.84),3 (0.88),2 (0.72),1 (0.88),1 (0.84),5 (0.76),3 (0.8),3 (0.8),1 (0.84),3 (0.76),3 (0.84),5 (0.8),1 (0.84),3 (0.8),3 (0.72),1,"BERT,MISTRAL","(2, 3)",BERT,FALSE,TRUE
3 (0.8),3 (0.84),4 (0.76),1 (0.92),0 (0.88),2 (0.92),2 (0.88),1 (0.84),1 (0.76),0 (0.72),0 (0.8),1 (0.72),1 (0.88),4 (0.68),0 (0.8),2,LLAMA3,"(4,)",LLAMA3,FALSE,TRUE
3 (0.84),3 (0.96),3 (0.84),3 (0.92),3 (0.8),4 (0.76),4 (0.76),4 (0.84),3 (0.76),4 (0.64),4 (0.76),3 (0.72),3 (0.8),3 (0.76),4 (0.72),3,LLAMA,"(4,)",LLAMA,FALSE,TRUE
0 (0.8),1 (0.8),2 (0.8),0 (0.76),1 (0.88),1 (0.68),1 (0.88),1 (0.88),1 (0.88),1 (0.8),1 (0.84),0 (0.92),0 (0.72),1 (0.88),0 (0.68),0,"ELMO,MISTRAL","(1, 0)",MISTRAL,TRUE,TRUE
3 (0.8),3 (0.72),1 (0.72),1 (0.72),1 (0.8),0 (0.56),2 (0.76),1 (0.72),1 (0.88),1 (0.76),1 (0.76),1 (0.76),1 (0.8),1 (0.72),2 (0.8),5,ELMO,"(0,)",ELMO,FALSE,FALSE
1 (0.8),0 (0.76),1 (0.8),1 (0.8),1 (0.8),1 (0.64),1 (0.84),2 (0.84),1 (0.72),1 (0.48),1 (0.64),1 (0.72),1 (0.72),1 (0.68),1 (0.72),4,LLAMA,"(1,)",LLAMA,FALSE,FALSE
0 (0.96),3 (0.92),1 (0.92),1 (0.72),3 (0.88),1 (0.8),3 (0.72),1 (0.8),5 (0.92),3 (0.8),3 (0.8),1 (0.76),3 (0.8),5 (0.88),3 (0.8),4,"DistilBERT,Falcon","(1, 3)",DistilBERT,FALSE,FALSE
1 (0.84),3 (0.88),1 (0.88),1 (0.8),1 (0.92),4 (0.76),3 (0.84),4 (0.8),3 (0.76),5 (0.76),3 (0.84),1 (0.84),4 (0.84),5 (0.84),5 (0.88),5,"ELMO,Glove,LLAMA","(4, 3, 5)",LLAMA,TRUE,TRUE
1 (0.72),3 (0.84),5 (0.88),1 (0.76),3 (0.76),1 (0.72),1 (0.84),1 (0.76),1 (0.68),1 (0.88),3 (0.92),1 (0.88),0 (0.76),1 (0.8),1 (0.88),5,Glove,"(1,)",Glove,FALSE,TRUE
4 (0.84),4 (0.72),5 (0.76),5 (0.64),3 (0.8),4 (0.6),5 (0.84),5 (0.72),5 (0.64),0 (0.88),5 (0.64),5 (0.88),1 (0.8),5 (0.72),4 (0.72),5,ELMO,"(4,)",ELMO,FALSE,TRUE
4 (0.84),4 (0.84),4 (0.72),4 (0.84),3 (0.84),4 (1.0),1 (0.8),3 (0.72),4 (0.8),4 (0.72),5 (0.8),4 (0.76),4 (0.84),4 (0.88),4 (0.76),4,"BERT,Fasttext,LLAMA","(4, 3, 4)",BERT,TRUE,TRUE
3 (0.88),1 (0.8),3 (0.8),5 (0.6),3 (0.88),3 (0.92),5 (0.8),2 (0.72),5 (0.88),2 (0.72),2 (0.88),3 (0.72),3 (0.64),5 (0.8),2 (0.76),4,DistilBERT,"(5,)",DistilBERT,FALSE,FALSE
4 (0.96),4 (0.72),5 (0.8),5 (0.88),4 (0.72),1 (0.84),1 (0.96),1 (0.84),3 (0.76),0 (0.88),1 (0.84),2 (0.8),2 (0.76),4 (0.84),1 (0.84),3,"BART,ELECTRA","(4, 4)",ELECTRA,FALSE,TRUE
1 (0.6),3 (0.8),0 (0.76),1 (0.8),1 (0.8),1 (0.76),3 (0.88),2 (0.96),2 (0.76),3 (0.84),3 (0.8),3 (0.72),3 (0.84),3 (0.76),1 (0.84),5,ALBERT,"(1,)",ALBERT,FALSE,FALSE
0 (0.72),3 (0.84),0 (0.84),0 (0.88),2 (0.84),5 (0.8),3 (0.88),2 (0.6),1 (0.84),1 (0.52),0 (0.96),1 (0.88),3 (0.84),2 (0.76),2 (0.8),4,LLAMA,"(1,)",LLAMA,FALSE,FALSE
1 (0.8),1 (0.8),1 (0.88),1 (0.88),1 (0.84),2 (0.8),2 (0.8),1 (0.72),0 (0.8),2 (0.84),2 (0.84),1 (0.68),2 (0.72),4 (0.72),2 (0.84),3,W2V,"(1,)",W2V,FALSE,FALSE
4 (0.8),3 (0.8),3 (0.76),3 (0.64),4 (0.84),5 (0.8),2 (0.8),3 (0.84),1 (0.84),5 (0.84),2 (0.76),4 (0.8),3 (0.92),4 (0.76),4 (0.76),4,DistilBERT,"(3,)",DistilBERT,FALSE,TRUE
1 (0.64),3 (0.8),1 (0.76),1 (0.92),1 (0.88),1 (0.88),3 (0.72),2 (0.92),4 (0.88),3 (0.84),4 (0.8),5 (0.8),1 (0.92),3 (0.84),1 (0.8),1,ALBERT,"(1,)",ALBERT,TRUE,TRUE
2 (0.92),1 (0.84),2 (0.84),0 (0.88),2 (0.96),0 (0.6),1 (0.96),1 (0.84),1 (0.68),0 (0.88),1 (0.88),0 (0.76),5 (0.68),1 (0.88),1 (0.88),4,ELMO,"(0,)",ELMO,FALSE,FALSE
4 (0.8),4 (0.76),1 (0.68),1 (0.76),4 (0.88),1 (0.88),1 (0.8),4 (0.84),4 (0.8),4 (0.84),4 (0.88),5 (0.84),1 (0.72),1 (0.84),4 (0.84),0,BERT,"(1,)",BERT,FALSE,FALSE
1 (0.88),1 (0.96),1 (0.84),1 (0.88),1 (0.84),1 (0.88),1 (0.68),1 (0.8),1 (0.88),1 (0.76),1 (0.92),2 (0.8),1 (0.84),1 (0.88),1 (0.68),1,"Falcon,MISTRAL","(1, 1)",Falcon,TRUE,TRUE
1 (0.88),1 (0.8),3 (0.88),3 (0.84),2 (0.88),1 (0.8),5 (0.8),1 (0.8),1 (0.68),5 (0.8),5 (0.88),3 (0.88),1 (0.84),5 (0.88),5 (0.84),3,Glove,"(1,)",Glove,FALSE,TRUE
3 (0.8),1 (0.8),1 (0.84),1 (0.84),3 (0.72),1 (0.76),1 (0.76),1 (0.84),4 (0.8),1 (0.76),1 (0.76),1 (0.96),1 (0.92),1 (0.72),1 (0.88),1,"ELECTRA,LLAMA3","(3, 1)",LLAMA3,TRUE,TRUE
3 (0.92),4 (0.84),3 (0.88),3 (0.68),2 (0.88),2 (0.64),0 (0.8),0 (0.96),1 (0.88),2 (0.8),2 (0.76),1 (0.72),3 (0.68),1 (0.64),1 (0.64),1,"ELMO,LLAMA3,MISTRAL","(2, 1, 1)",LLAMA3,TRUE,TRUE
1 (0.76),3 (0.84),1 (1.0),1 (0.88),1 (0.84),1 (0.64),1 (0.84),1 (0.72),1 (0.76),1 (0.8),1 (0.8),1 (0.84),3 (0.8),1 (0.64),1 (0.72),4,"ELMO,LLAMA3","(1, 1)",LLAMA3,FALSE,FALSE
2 (0.88),4 (0.8),5 (0.88),5 (0.64),1 (0.84),1 (0.76),5 (0.92),4 (0.92),0 (0.92),5 (0.8),5 (0.84),4 (0.96),1 (0.76),5 (0.84),5 (0.88),5,DistilBERT,"(5,)",DistilBERT,TRUE,TRUE
5 (0.8),1 (0.84),3 (0.76),3 (0.92),4 (0.84),1 (0.72),1 (0.92),4 (0.76),5 (0.92),5 (0.84),5 (0.8),2 (0.88),3 (0.92),1 (0.84),2 (0.76),3,ELMO,"(1,)",ELMO,FALSE,TRUE
3 (0.88),3 (0.64),3 (0.8),4 (0.64),4 (0.76),3 (0.84),0 (0.8),3 (0.76),1 (0.84),3 (0.8),2 (0.84),3 (0.92),3 (0.84),5 (0.8),4 (0.68),5,"BART,DistilBERT","(3, 4)",BART,FALSE,TRUE
0 (0.84),1 (0.8),2 (0.84),0 (0.8),0 (1.0),5 (0.76),0 (0.88),2 (0.84),1 (0.84),0 (0.8),0 (0.76),1 (0.92),1 (0.76),0 (0.76),0 (0.92),1,"ELMO,RoBERTa,XLNET,LLAMA3","(5, 0, 1, 0)",XLNET,TRUE,TRUE
5 (0.8),3 (0.88),5 (0.8),0 (0.68),1 (0.96),5 (0.72),1 (0.88),1 (0.56),2 (0.8),1 (0.72),1 (0.68),1 (0.92),1 (0.76),1 (0.84),1 (0.76),5,Fasttext,"(1,)",Fasttext,FALSE,TRUE
3 (0.84),3 (0.76),2 (0.92),3 (0.88),4 (0.96),3 (0.64),3 (0.72),3 (0.8),4 (0.72),3 (0.76),3 (0.72),4 (0.76),3 (0.8),3 (0.88),3 (0.92),2,ELMO,"(3,)",ELMO,FALSE,TRUE
2 (0.76),3 (0.72),1 (0.76),1 (0.76),2 (0.84),1 (0.84),4 (0.76),1 (0.6),2 (0.72),1 (0.8),2 (0.8),2 (0.88),1 (0.84),4 (0.84),2 (0.8),4,Fasttext,"(1,)",Fasttext,FALSE,TRUE
1 (0.88),1 (0.76),1 (0.88),1 (0.72),1 (0.88),1 (0.76),1 (0.84),1 (0.8),1 (0.76),1 (0.84),1 (0.72),1 (0.84),1 (0.72),1 (0.88),1 (0.76),5,"DistilBERT,RoBERTa,XLNET","(1, 1, 1)",DistilBERT,FALSE,FALSE
5 (0.88),1 (0.92),4 (0.84),1 (0.6),1 (0.8),1 (0.88),4 (0.68),1 (0.76),1 (0.8),4 (0.68),3 (0.84),1 (0.84),1 (0.76),4 (0.84),3 (0.76),4,DistilBERT,"(1,)",DistilBERT,FALSE,TRUE
1 (0.8),5 (0.84),3 (0.88),1 (0.92),2 (0.72),1 (0.68),3 (0.8),1 (0.84),1 (0.8),3 (0.84),2 (0.76),1 (0.84),4 (0.92),1 (0.76),3 (0.8),3,ELMO,"(1,)",ELMO,FALSE,TRUE
1 (0.92),1 (0.88),1 (0.8),1 (0.56),1 (0.8),0 (0.72),1 (0.84),0 (0.76),5 (0.92),2 (0.8),2 (0.72),1 (0.76),1 (0.8),1 (0.84),2 (0.88),0,DistilBERT,"(1,)",DistilBERT,FALSE,TRUE
1 (0.88),1 (0.8),1 (0.84),5 (0.84),1 (0.88),1 (0.92),0 (0.76),1 (0.92),1 (0.84),4 (0.68),1 (0.88),1 (0.8),1 (0.88),0 (0.84),1 (0.76),5,LLAMA,"(4,)",LLAMA,FALSE,TRUE
3 (0.88),3 (0.8),4 (0.88),1 (0.8),4 (0.76),1 (0.8),1 (0.76),3 (0.88),3 (0.52),1 (0.84),4 (0.8),1 (0.88),3 (0.76),1 (0.84),4 (0.84),1,Glove,"(3,)",Glove,FALSE,TRUE
2 (0.72),1 (0.8),3 (0.8),0 (0.68),3 (0.84),2 (0.64),2 (0.8),2 (0.68),3 (0.76),2 (0.64),0 (0.84),1 (0.8),1 (0.8),2 (0.64),0 (0.84),0,"ELMO,LLAMA,LLAMA3","(2, 2, 2)",LLAMA,FALSE,TRUE
2 (0.68),1 (0.64),1 (0.8),2 (0.84),2 (0.76),2 (0.8),1 (0.76),3 (0.8),0 (0.88),1 (0.84),1 (0.72),1 (0.8),1 (0.88),1 (0.92),3 (0.72),4,BART,"(1,)",BART,FALSE,FALSE
4 (0.72),1 (0.88),4 (0.84),1 (0.92),4 (0.8),1 (0.76),4 (0.68),4 (0.96),3 (0.76),5 (0.84),5 (0.84),1 (0.8),3 (0.92),4 (0.92),1 (0.72),5,Falcon,"(4,)",Falcon,FALSE,TRUE
4 (0.88),1 (0.68),4 (0.72),5 (0.8),4 (0.72),4 (0.72),4 (0.84),4 (0.92),3 (0.72),5 (0.76),4 (0.8),4 (0.88),1 (0.8),4 (0.88),4 (0.72),5,BART,"(1,)",BART,FALSE,TRUE
3 (0.72),4 (0.84),5 (0.8),1 (0.88),2 (0.8),3 (0.8),3 (0.84),3 (0.8),1 (0.84),5 (0.92),5 (0.8),1 (0.84),1 (0.92),5 (0.92),5 (0.92),4,ALBERT,"(3,)",ALBERT,FALSE,TRUE
4 (0.68),1 (0.8),3 (0.6),3 (0.76),4 (0.72),4 (0.8),4 (0.64),4 (0.76),4 (0.84),4 (0.68),4 (0.92),4 (0.76),5 (0.88),4 (0.8),3 (0.6),3,"BERT,MISTRAL","(3, 3)",BERT,TRUE,TRUE
1 (0.68),3 (0.84),1 (0.8),1 (0.8),4 (0.72),3 (0.84),3 (0.8),3 (0.92),3 (0.68),5 (0.8),1 (0.8),1 (0.84),1 (0.84),1 (0.72),1 (0.76),1,"ALBERT,Glove","(1, 3)",ALBERT,TRUE,TRUE
1 (0.92),5 (0.72),1 (0.8),1 (0.8),3 (0.8),1 (0.88),1 (0.76),1 (0.84),1 (0.96),1 (0.88),1 (0.68),1 (0.88),1 (0.76),1 (0.84),1 (0.76),1,RoBERTa,"(1,)",RoBERTa,TRUE,TRUE
3 (0.76),3 (0.96),3 (0.8),3 (0.56),1 (0.72),3 (0.76),3 (0.4),3 (0.44),1 (0.64),3 (0.84),3 (0.68),0 (0.32),1 (0.68),3 (0.36),3 (0.6),3,W2V,"(0,)",W2V,FALSE,TRUE
1 (0.92),3 (0.84),2 (0.64),3 (0.84),1 (0.88),2 (0.72),3 (0.72),4 (0.8),2 (0.92),3 (0.76),3 (0.8),4 (0.76),3 (0.8),4 (0.68),3 (0.84),1,BERT,"(2,)",BERT,FALSE,TRUE
4 (0.92),1 (0.8),1 (0.92),1 (0.8),2 (0.88),1 (0.8),2 (0.72),3 (0.88),1 (0.72),1 (0.64),2 (0.84),2 (0.64),3 (0.88),2 (0.8),2 (0.72),2,"LLAMA,W2V","(1, 2)",W2V,TRUE,TRUE
2 (0.88),1 (0.92),3 (0.68),2 (0.68),3 (0.72),2 (0.8),2 (0.8),2 (0.72),1 (0.72),2 (0.76),1 (0.76),1 (0.68),3 (0.84),2 (0.76),2 (0.76),4,"BERT,DistilBERT,W2V","(3, 2, 1)",BERT,FALSE,FALSE
